salaries|company|location|position
114000|Emerson|Houston, TX|Sr. Integrity Engineer
126000|Bray International, Inc.|Houston, TX|Principal Valve Design Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Java/Scala Software Engineer
73000|HILCORP ENERGY COMPANY|Houston, TX|Engineering Tech
83000|Bechtel|Houston, TX|Cost Engineer - IR Budget Analyst
75000|GPD Group|Houston, TX|DAS RF Engineer
71000|Weatherford|Houston, TX|SOFTWARE DEVELOPER
143000|Hewlett Packard Enterprise|Houston, TX|Senior UEFI Development Engineer
103000|AVEVA|Houston, TX|Senior Thermodynamics Software Engineer II
77000|Agilent Technologies|Houston, TX|Quality Engineer, Design
71000|Emerson|Houston, TX|Application Engineer
116000|Slalom LLC.|Houston, TX|Senior Engineer - Software Development
87000|CPA Global|Houston, TX|Software Developer
118000|Slalom LLC.|Houston, TX|DevOps Engineer
79000|Emerson Electric Co|Houston, TX|Project Engineer
137000|Baker Hughes, a GE company|Houston, TX|Sr Software Engineer
109000|Sysco|Houston, TX|Sr. Software Engineer, BPC
98000|MSC Software|Houston, TX|Consulting Engineer (Adams)
94000|JPMorgan Chase|Houston, TX|Software Engineer - Big Data
113000|Shell|Houston, TX|IT Operations Engineer (PetroSigns)
81000|Stanley Black & Decker|Houston, TX|Software Engineer
127000|Halliburton|Houston, TX|Software Architect
80000|Luxoft USA|Houston, TX|Software developer (FiberVSP C# \\ C++)
114000|Aegion|Houston, TX|Senior Engineer
68000|National Oilwell Varco|Houston, TX|Software Electronic Engineer
77000|BravoTECH|Spring, TX|Sr QA Engineer
90000|IBM|Houston, TX|Software Developer
108000|Wise Men Consultants|Houston, TX|Electrical Engineer
96000|National Oilwell Varco|Houston, TX|Electrical Control Systems Engineer
78000|Harris Health System|Houston, TX|SEWS Software Engineer III (Epic Technical Engineer)
110000|Oceaneering International|Houston, TX|Software Architect
136000|EOG|Houston, TX|Reservoir Engineering Advisor
95000|Micro Focus|Houston, TX|Sr. Software Engineer - NetIQ Directory and Resource Administrator - Houston, TX
123000|SNC Lavalin|Houston, TX|Automation and Controls Engineer
75000|AIG|Houston, TX|Software Engineer
73000|Rice University|Houston, TX|Software Engineer
167000|Wood Mackenzie|Houston, TX|Principal Data Engineer
84000|TransCore|Houston, TX|Software Engineer
108000|Chase|Houston, TX|.Net Senior Software Engineer
82000|Cerner|Missouri City, TX|Academy Software Engineer - Sponsorship Available
97000|Empyrean Benefit Solutions|Houston, TX|Senior API Software Engineer
109000|Sysco|Houston, TX|Sr. Software Engineer, BPC
73000|Hewlett Packard Enterprise|Houston, TX|Software Development Intern
146000|Two Sigma|Houston, TX|Campus Hire- Software Engineer
125000|Infodat International|Houston, TX|Five Sr Software Engineer
82000|Weatherford|Houston, TX|Engineer
84000|INSYS Group|Houston, TX|Manual QA Engineer
81000|empowr|Houston, TX|Software Developer
117000|Open Systems Technologies (NYC)|Houston, TX|Software Engineer 120019
100000|alliantgroup, LP|Houston, TX|Data Scientist
94000|JPMorgan Chase&Co.|Houston, TX|Java Software Engineer - Devops
108000|InfiCare Technologies|Houston, TX|Data Scientist with strong Python
53000|WhiteHat Security|Houston, TX|Technical Support Engineer (DAST) Houston or San Jose
104000|Continental Corporation|Deer Park, TX|Software Architect Engineer
97000|Oracle|Houston, TX|Lead Hadoop Software Engineer
45000|FDM Group|Houston, TX|Junior Software Developer
56000|ePathusa|Houston, TX|DevOps/Configuration Engineer
120000|INSYS Group|Houston, TX|DevOps Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Software Engineer- Java/Python Developer
149000|CIRCOR International|Houston, TX|Engineer in Houston, TX at Circor Career Site
164000|LogRhythm|Houston, TX|Sales Engineer - Texas
99000|Accenture|Houston, TX|Data Engineer Consultant
87000|Siemens PLC|Houston, TX|Software Applications Engineer
93000|Carpenter Technology Corporation|Houston, TX|Downhole Design Engineer - Houston, Texas
75000|Chase|Houston, TX|Associate- Software Engineer
128000|Prolim Global|Houston, TX|JPC 3477 - Senior Software Engineer
94000|JPMorgan Chase&Co.|Houston, TX|Java Software Engineer - Trading Systems
115000|JPMorgan Chase|Houston, TX|Sr. Java/J2EE Software Engineer
91000|PROS|Houston, TX|Software Engineer I
94000|J.P. Morgan|Houston, TX|Software Engineer
100000|Harris Health System|Houston, TX|ERP Software Engineer III - EPSi
64000|Universal Weather & Aviation|Houston, TX|QA Analyst II
51000|FDM Group|Houston, TX|Junior DevOps Software Engineer
95000|Halliburton|Houston, TX|United States Houston: Sr Engineer - Software Development
108000|Wyle Laboratories, Inc.|Houston, TX|Data Scientist
115000|JPMorgan Chase|Houston, TX|.Net Senior Software Engineer
117000|Weatherford|Houston, TX|Software QA Engineer III -
57000|Waste Management|Houston, TX|Data Scientist - Pricing & Revenue Management
132000|Quantlab|Houston, TX|C++ Software Engineer
52000|HP Inc.|Houston, TX|Personal Systems Customer Experience & Portfolio Strategy, Summer Intern - Software Security
101000|Rockwell Automation|Houston, TX|Software Project Engineer
100000|Harris Health System|Houston, TX|IAM Software Engineer III
75000|Hewlett Packard Enterprise|Houston, TX|Quality Engineer
83000|Continental Corporation|Deer Park, TX|Software Engineer
115000|J.P. Morgan|Houston, TX|Senior Software Engineer-Java/Hadoop
94000|J.P. Morgan|Houston, TX|Java Software Engineer -Iseries
81000|AIG|Houston, TX|Software Developer
121000|Navigant Consulting Inc.|Houston, TX|Senior Manager - Software Engineer - Remote
